season,episode,narrator,line
1,1,chandler:," ooh, she should not be wearing those pants. "
1,1,joey:,  push her down the stairs! push her down the stairs! push her down the stairs! 
1,1,rachel:," c'mon daddy, listen to me! it's like, it's like, all of my life, everyone has always told me, 'you're a shoe! you're a shoe, you're a shoe, you're a shoe!'. and today i just stopped and i said, 'what if i don't wanna be a shoe? what if i wanna be a a purse, y'know? or a or a hat! no, i'm not saying i want you to buy me a hat, i'm saying i am a ha it's a metaphor, daddy!"
1,1,ross:, you can see where he'd have trouble.
1,1,rachel:," look daddy, it's my life. well maybe i'll just stay here with monica. "
1,1,monica:," well, i guess we've established who's staying here with monica..."
1,1,rachel:," well, maybe that's my decision. well, maybe i don't need your money. wait!! wait, i said maybe!! "
1,1,monica:," just breathe, breathe.. that's it. just try to think of nice calm things..."
1,1,phoebe:," raindrops on roses and rabbits and kittens, bluebells and sleighbells and something with mittens... la la la la...something and noodles with string.  these are a few..."
1,1,rachel:, i'm all better now.
1,1,phoebe:, i helped!
1,1,monica:," okay, look, this is probably for the best, y'know? independence. taking control of your life.  the whole, 'hat' thing."
1,1,joey:," and hey, you need anything, you can always come to joey. me and chandler live across the hall. and he's away a lot."
1,1,monica:," joey, stop hitting on her! it's her wedding day!"
1,1,joey:," what, like there's a rule or something? "
1,1,chandler:," please don't do that again, it's a horrible sound."
1,1,paul:," it's, uh, it's paul."
1,1,monica:," oh god, is it 6 ?  buzz him in!"
1,1,joey:, who's paul?
1,1,ross:," paul the wine guy, paul?"
1,1,monica:, wait. your 'not a real date' tonight is with paul the wine guy?
1,1,ross:, he finally asked you out?
1,1,monica:, yes!
1,1,chandler:," ooh, this is a dear diary moment."
1,1,monica:," rach, wait, i can cancel..."
1,1,rachel:," please, no, go, that'd be fine!"
1,1,monica:," are, are you okay? i mean, do you want me to stay?"
1,1,ross:, that'd be good...
1,1,monica:, really?
1,1,ross:," no, go on! it's paul the wine guy!"
1,1,phoebe:," what does that mean?   does he sell it, drink it, or just complain a lot? "
1,1,monica:," hi, come in! paul, this is.. ... everybody, everybody, this is paul."
1,1,all:, hey! paul! hi! the wine guy! hey!
1,1,chandler:," i'm sorry, i didn't catch your name. paul, was it?"
1,1,monica:," okay, umm umm, i'll just i'll be right back, i just gotta go ah, go ah..."
1,1,ross:, a wandering?
1,1,monica:," change!  okay, sit down. two seconds."
1,1,phoebe:," ooh, i just pulled out four eyelashes. that can't be good. "
1,1,joey:,"  hey, paul!"
1,1,paul:, yeah?
1,1,joey:," here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
1,1,monica:," shut up, joey!"
1,1,ross:," so rachel, what're you, uh... what're you up to tonight?"
1,1,rachel:," well, i was kinda supposed to be headed for aruba on my honeymoon, so nothing!"
1,1,ross:," right, you're not even getting your honeymoon, god.. no, no, although, aruba, this time of year... talk about your big lizards... anyway, if you don't feel like being alone tonight, joey and chandler are coming over to help me put together my new furniture."
1,1,chandler:," yes, and we're very excited about it. "
1,1,rachel:," well actually thanks, but i think i'm just gonna hang out here tonight.  it's been kinda a long day."
1,1,ross:," okay, sure."
1,1,joey:," hey pheebs, you wanna help?"
1,1,phoebe:," oh, i wish i could, but i don't want to. commercial break "
1,1,phoebe:," love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  la la la la la thank you. la la la la...ohhh! "
1,1,ross:," i'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. i have no brackety thing, i see no whim guys whatsoever and i cannot feel my legs. "
1,1,joey:, i'm thinking we've got a bookcase here.
1,1,chandler:, it's a beautiful thing.
1,1,joey:, what's this?
1,1,chandler:, i would have to say that is an 'l' shaped bracket.
1,1,joey:, which goes where?
1,1,chandler:, i have no idea. 
1,1,joey:, done with the bookcase!
1,1,chandler:, all finished!
1,1,ross:," this was carol's favorite beer. she always drank it out of the can, i should have known."
1,1,joey:," hey hey hey hey, if you're gonna start with that stuff we're outta here."
1,1,chandler:," yes, please don't spoil all this fun."
1,1,joey:," ross, let me ask you a question. she got the furniture, the stereo, the good tv what did you get?"
1,1,ross:, you guys.
1,1,chandler:," oh, god."
1,1,joey:, you got screwed.
1,1,chandler:, oh my god! 
1,1,monica:, oh my god!
1,1,paul:," i know, i know, i'm such an idiot. i guess i should have caught on when she started going to the dentist four and five times a week. i mean, how clean can teeth get?"
1,1,monica:," my brother's going through that right now, he's such a mess. how did you get through it?"
1,1,paul:," well, you might try accidentally breaking something valuable of hers, say her "
1,1,monica:, leg?
1,1,paul:," that's one way! me, i i went for the watch."
1,1,monica:," you actually broke her watch?  wow!  the worst thing i ever did was, i i shredded by boyfriend's favorite bath towel."
1,1,paul:," ooh, steer clear of you."
1,1,monica:, that's right. 
1,1,rachel:," barry, i'm sorry... i am so sorry... i know you probably think that this is all about what i said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and i ju hi, machine cut me off again... anyway...look, look, i know that some girl is going to be incredibly lucky to become mrs. barry finkel, but it isn't me, it's not me.  and not that i have any idea who me is right now, but you just have to give me a chance too... "
1,1,ross:, i'm divorced!  i'm only 26 and i'm divorced!
1,1,joey:, shut up!
1,1,chandler:, you must stop! 
1,1,ross:, that only took me an hour.
1,1,chandler:," look, ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a mento.   you, however have had the love of a woman for four years.   four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  i don't think that was my point!"
1,1,ross:," you know what the scariest part is? what if there's only one woman for everybody, y'know? i mean what if you get one woman and that's it? unfortunately in my case, there was only one woman for her..."
1,1,joey:," what are you talking about? 'one woman'? that's like saying there's only one flavor of ice cream for you. lemme tell you something, ross. there's lots of flavors out there. there's rocky road, and cookie dough, and bing! cherry vanilla. you could get 'em with jimmies, or nuts, or whipped cream! this is the best thing that ever happened to you! you got married, you were, like, what, eight? welcome back to the world! grab a spoon!"
1,1,ross:, i honestly don't know if i'm hungry or horny.
1,1,chandler:, stay out of my freezer! 
1,1,paul:," ever since she walked out on me, i, uh..."
1,1,monica:," what?..... what, you wanna spell it out with noodles?"
1,1,paul:," no, it's, it's more of a fifth date kinda revelation."
1,1,monica:," oh, so there is gonna be a fifth date?"
1,1,paul:, isn't there?
1,1,monica:," yeah... yeah, i think there is. what were you gonna say?"
1,1,paul:," well, ever ev ... ever since she left me, um, i haven't been able to, uh, perform. ...sexually. "
1,1,monica:," oh god, oh god, i am sorry... i am so sorry..."
1,1,paul:, it's okay...
1,1,monica:, i know being spit on is probably not what you need right now. um... how long?
1,1,paul:, two years.
1,1,monica:, wow! i'm i'm i'm glad you smashed her watch!
1,1,paul:," so you still think you, um... might want that fifth date?"
1,1,monica:," we are gathered here today to join joanne louise cunningham and charles, chachi chachi chachi, arcola in the bound of holy matrimony."
1,1,rachel:, oh...see... but joanne loved chachi! that's the difference! 
1,1,ross:," grab a spoon. do you know how long it's been since i've grabbed a spoon? do the words 'billy, don't be a hero' mean anything to you? "
1,1,joey:," great story!  but, i uh, i gotta go, i got a date with andrea angela andrea...  oh man, "
1,1,chandler:," angela's the screamer, andrea has cats."
1,1,joey:, right.  thanks.  it's june.  i'm outta here. 
1,1,ross:," y'know, here's the thing. even if i could get it together enough to to ask a woman out,... who am i gonna ask? "
1,1,rachel:," isn't this amazing? i mean, i have never made coffee before in my entire life."
1,1,chandler:, that is amazing.
1,1,joey:, congratulations. 
1,1,rachel:," y'know, i figure if i can make coffee, there isn't anything i can't do."
1,1,chandler:," if can invade poland, there isn't anything i can't do."
1,1,joey:," listen, while you're on a roll, if you feel like you gotta make like a western omelet or something... although actually i'm really not that hungry..."
1,1,monica:," oh good, lenny and squigy are here."
1,1,all:, morning. good morning.
1,1,paul:, morning.
1,1,joey:," morning, paul."
1,1,rachel:," hello, paul."
1,1,chandler:," hi, paul, is it? "
1,1,paul:, thank you!  thank you so much!
1,1,monica:, stop!
1,1,paul:," no, i'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in witness."
1,1,monica:, we'll talk later.
1,1,paul:, yeah. thank you. 
1,1,joey:, that wasn't a real date?! what the hell do you do on a real date?
1,1,monica:," shut up, and put my table back."
1,1,all:, okayyy! 
1,1,chandler:," all right, kids, i gotta get to work. if i don't input those numbers,... it doesn't make much of a difference... "
1,1,rachel:," so, like, you guys all have jobs?"
1,1,monica:," yeah, we all have jobs. see, that's how we buy stuff."
1,1,joey:," yeah, i'm an actor."
1,1,rachel:, wow! would i have seen you in anything?
1,1,joey:, i doubt it. mostly regional work.
1,1,monica:," oh wait, wait, unless you happened to catch the reruns' production of pinocchio, at the little theater in the park."
1,1,joey:," look, it was a job all right?"
1,1,chandler:," 'look, gippetto, i'm a real live boy.'"
1,1,joey:, i will not take this abuse. 
1,1,chandler:," you're right, i'm sorry. ""once i was a wooden boy, a little wooden boy..."""
1,1,joey:," you should both know, that he's a dead man.  oh, chandler? "
1,1,monica:, so how you doing today? did you sleep okay? talk to barry? i can't stop smiling.
1,1,rachel:, i can see that. you look like you slept with a hanger in your mouth.
1,1,monica:," i know, he's just so, so... do you remember you and tony demarco?"
1,1,rachel:," oh, yeah."
1,1,monica:," well, it's like that. with feelings."
1,1,rachel:, oh wow. are you in trouble.
1,1,monica:, big time!
1,1,rachel:, want a wedding dress?   hardly used.
1,1,monica:," i think we are getting a little ahead of selves here. okay. okay. i am just going to get up, go to work and not think about him all day. or else i'm just gonna get up and go to work."
1,1,rachel:," oh, look, wish me luck!"
1,1,monica:, what for?
1,1,rachel:, i'm gonna go get one of those job things. 
1,1,frannie:," hey, monica! "
1,1,monica:," hey frannie, welcome back! how was florida? "
1,1,frannie:," you had sex, didn't you? "
1,1,monica:, how do you do that?
1,1,frannie:," oh, i hate you, i'm pushing my aunt roz through parrot jungle and you're having sex!  so? who? "
1,1,monica:, you know paul? 
1,1,frannie:," paul the wine guy? oh yeah, i know paul. "
1,1,monica:, you mean you know paul like i know paul? 
1,1,frannie:," are you kidding? i take credit for paul. y'know before me, there was no snap in his turtle for two years. "
1,1,joey:, of course it was a line! 
1,1,monica:," why?! why? why, why would anybody do something like that? "
1,1,ross:, i assume we're looking for an answer more sophisticated than 'to get you into bed'. 
1,1,monica:, i hate men!  i hate men!
1,1,phoebe:," oh no, don't hate, you don't want to put that out into the universe."
1,1,monica:, is it me? is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear? 
1,1,phoebe:," all right, c'mere, gimme your feet. "
1,1,monica:," i just thought he was nice, y'know? "
1,1,joey:, i can't believe you didn't know it was a line! 
1,1,rachel:, guess what? 
1,1,ross:, you got a job? 
1,1,rachel:, are you kidding? i'm trained for nothing! i was laughed out of twelve interviews today. 
1,1,chandler:, and yet you're surprisingly upbeat. 
1,1,rachel:," you would be too if you found john and david boots on sale, fifty percent off! "
1,1,chandler:," oh, how well you know me... "
1,1,rachel:," they're my new 'i don't need a job, i don't need my parents, i've got great boots' boots! "
1,1,monica:, how'd you pay for them? 
1,1,rachel:," uh, credit card. "
1,1,monica:, and who pays for that? 
1,1,rachel:, um... my... father. 
1,1,rachel:," oh god, come on you guys, is this really necessary?  i mean, i can stop charging anytime i want. "
1,1,monica:," c'mon, you can't live off your parents your whole life. "
1,1,rachel:, i know that. that's why i was getting married. 
1,1,phoebe:," give her a break, it's hard being on your own for the first time. "
1,1,rachel:, thank you. 
1,1,phoebe:," you're welcome. i remember when i first came to this city. i was fourteen. my mom had just killed herself and my step dad was back in prison, and i got here, and i didn't know anybody. and i ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then i found aromatherapy. so believe me, i know exactly how you feel. "
1,1,ross:, the word you're looking for is 'anyway'... 
1,1,monica:," all right, you ready?"
1,1,rachel:," no.  no, no, i'm not ready!  how can i be ready?  ""hey, rach!  you ready to jump out the airplane without your parachute?""  come on, i can't do this!"
1,1,monica:," you can, i know you can! "
1,1,rachel:, i don't think so.
1,1,ross:," come on, you made coffee!   you can do anything! "
1,1,ross:," c'mon, cut. cut, cut, cut,... "
1,1,all:," cut, cut, cut, cut, cut, cut, cut... "
1,1,rachel:, y'know what?  i think we can just leave it at that.  it's kinda like a symbolic gesture...
1,1,monica:,  rachel!  that was a library card! 
1,1,all:," cut, cut, cut, cut, cut, cut, cut.."
1,1,chandler:," y'know, if you listen closely, you can hear a thousand retailers scream. "
1,1,monica:, welcome to the real world! it sucks. you're gonna love it! 
1,1,monica:," well, that's it you gonna crash on the couch? "
1,1,ross:," no. no, i gotta go home sometime. "
1,1,monica:, you be okay? 
1,1,ross:, yeah. 
1,1,rachel:," hey mon, look what i just found on the floor. what? "
1,1,monica:, goodnight. 
1,1,ross:," mmm. oh, no "
1,1,rachel:, sorry 
1,1,ross:," no no no, go "
1,1,rachel:," no, you have it, really, i don't want it "
1,1,ross:, split it? 
1,1,rachel:, okay. 
1,1,ross:," okay. you know you probably didn't know this, but back in high school, i had a, um, major crush on you. "
1,1,rachel:, i knew. 
1,1,ross:, you did! oh.... i always figured you just thought i was monica's geeky older brother. 
1,1,rachel:, i did. 
1,1,ross:," oh. listen, do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out? sometime? maybe? "
1,1,rachel:," yeah, maybe... "
1,1,ross:," okay... okay, maybe i will... "
1,1,rachel:, goodnight. 
1,1,ross:, goodnight. 
1,1,monica:," see ya.... waitwait, what's with you? "
1,1,ross:, i just grabbed a spoon. closing credits 
1,1,joey:, i can't believe what i'm hearing here. 
1,1,phoebe:, i can't believe what i'm hearing here... 
1,1,monica:, what? i i said you had a 
1,1,phoebe:, what i said you had... 
1,1,monica:, would you stop? 
1,1,phoebe:," oh, was i doing it again?"
1,1,all:, yes!
1,1,monica:," i said that you had a nice butt, it's just not a great butt."
1,1,joey:," oh, you wouldn't know a great butt if it came up and bit ya."
1,1,ross:, there's an image.
1,1,rachel:, would anybody like more coffee? 
1,1,chandler:," did you make it, or are you just serving it? "
1,1,rachel:, i'm just serving it. 
1,1,all:," yeah. yeah, i'll have a cup of coffee. "
1,1,chandler:," kids, new dream... i'm in las vegas. "
1,1,customer:," ahh, miss?   more coffee? "
1,1,rachel:," ugh. excuse me, could you give this to that guy over there? go ahead. thank you. sorry.  okay, las vegas."
1,1,chandler:," okay, so, i'm in las vegas... i'm liza minelli "
1,2,monica:," what you guys don't understand is, for us, kissing is as important as any part of it. "
1,2,joey:," yeah, right!.......y'serious? "
1,2,phoebe:," oh, yeah! "
1,2,rachel:, everything you need to know is in that first kiss. 
1,2,monica:, absolutely. 
1,2,chandler:," yeah, i think for us, kissing is pretty much like an opening act, y'know? i mean it's like the stand up comedian you have to sit through before pink floyd comes out. "
1,2,ross:," yeah, and and it's not that we don't like the comedian, it's that that... that's not why we bought the ticket. "
1,2,chandler:," the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? i mean, we're in the car, we're fighting traffic... basically just trying to stay awake. "
1,2,rachel:," bring back the comedian. otherwise next time you're gonna find yourself sitting at home, listening to that album alone. "
1,2,joey:," museum of prehistoric history, ross and a co worker are setting up an exhibit which includes some mannequins of cave people.] "
1,2,ross:," no, it's good, it is good, it's just that mm doesn't she seem a little angry? "
1,2,marsha:," well, she has issues. "
1,2,ross:, does she. 
1,2,marsha:," he's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet! "
1,2,ross:," marsha, these are cave people. okay? they have issues like 'gee, that glacier's getting kinda close.' see? "
1,2,marsha:," speaking of issues, isn't that your ex wife? "
1,2,ross:, no. no. 
1,2,marsha:," yes, it is. carol! hi! "
1,2,ross:," okay, okay, yes, it is. how about i'll, uh, catch up with you in the ice age. "
1,2,ross:,hi. 
1,2,carol:, so. 
1,2,ross:," you look great. i, uh... i hate that. "
1,2,carol:, sorry. you look good too. 
1,2,ross:," ah, well, in here, anyone who... stands erect... so what's new? still, uh... "
1,2,carol:, a lesbian? 
1,2,ross:," well... you never know. how's, um.. how's the family? "
1,2,carol:," marty's still totally paranoid. oh, and, uh "
1,2,ross:," why why are you here, carol? "
1,2,carol:, i'm pregnant. 
1,2,ross:, pregnant?! 
1,2,chandler:," oh, i think this is the episode of three's company where there's some kind of misunderstanding. "
1,2,phoebe:,...then i've already seen this one! 
1,2,monica:, are you through with that? 
1,2,joey:," yeah, sorry, the swallowing slowed me down. "
1,2,monica:, whose little ball of paper is this?! 
1,2,chandler:," oh, uh, that would be mine. see, i wrote a note to myself, and then i realised i didn't need it, so i balled it up and... ...now i wish i was dead. "
1,2,phoebe:," she's already fluffed that pillow... monica, you know, you've already fluffed that but, it's fine! "
1,2,monica:," look , i'm sorry, guys, i just don't wanna give them any more ammunition than they already have. "
1,2,chandler:," yes, and we all know how cruel a parent can be about the flatness of a child's pillow. "
1,2,phoebe:," monica hi! um, monica, you're scaring me. i mean, you're like, you're like all chaotic and twirly. and not not in a good way. "
1,2,joey:," yeah, calm down. you don't see ross getting all chaotic and twirly every time they come. "
1,2,monica:," that's because as far as my parents are concerned, ross can do no wrong. y'see, he's the prince. apparently they had some big ceremony before i was born. "
1,2,chandler:," ew, ew, ew, ew ew ew ew ew! "
1,2,monica:, what? 
1,2,chandler:, ugly naked guy got a thighmaster! 
1,2,all:, eeaagh! 
1,2,rachel:, has anybody seen my engagement ring? 
1,2,phoebe:," yeah, it's beautiful. "
1,2,rachel:," oh god, oh god, oh god oh god oh god oh god.... "
1,2,phoebe:," no, look, don't touch that! "
1,2,rachel:," oh, like i wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! remember me? i'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now i'm gonna have to return the ring, without the ring, which makes it so much harder... "
1,2,monica:, oh! yeah!
1,2,joey:," alright, when'd'ya have it on last?"
1,2,phoebe:, doy! probably right before she lost it! 
1,2,chandler:, you don't get a lot of 'doy' these days... 
1,2,rachel:," i know i had it this morning, and i know i had it when i was in the kitchen with... "
1,2,chandler:, ...dinah? 
1,2,rachel:," ohhhhh, don't be mad... "
1,2,monica:, you didn't. 
1,2,rachel:," oh, i am sorry... "
1,2,monica:, i gave you one job! 
1,2,rachel:," oh, but look how straight those noodles are! "
1,2,chandler:," now, monica, you know that's not how you look for an engagement ring in a lasagne... "
1,2,monica:, i just... can't do it. 
1,2,chandler:, boys? we're going in. 
1,2,ross:, .....hi. 
1,2,monica:, wow. that is not a happy hi. 
1,2,ross:, carol's pregnant. 
1,2,phoebe:, ooh! i found it! 
1,2,monica:, w w wh ... wha ... w w w ... 
1,2,ross:," yeah. do that for another two hours, you might be where i am right about now. "
1,2,chandler:," kinda puts that whole pillow thing in perspective, huh, mon? "
1,2,rachel:," well now, how how do you fit into this whole thing? "
1,2,ross:," well, carol says she and susan want me to be involved, but if i'm not comfortable with it, i don't have to be involved.. basically it's entirely up to me. "
1,2,phoebe:, she is so great! i miss her. 
1,2,monica:, what does she mean by 'involved'? 
1,2,chandler:," i mean presumably, the biggest part of your job is done. "
1,2,ross:," anyway, they want me to go down to this sonogram thing with them tomorrow. "
1,2,rachel:, so what are you gonna do? 
1,2,ross:," i have no idea. no matter what i do, though, i'm still gonna be a father. "
1,2,joey:," oh, martha ludwin's daughter is gonna call you. mmm! what's that curry taste? "
1,2,monica:, mmmm! 
1,2,ross:, they all had a thing for him. 
1,2,ross:," aw, mom... "
1,2,monica:," oh, she just graduated, and she wants to be something in cooking, or food, or.... i don't know. anyway, i told her you had a restaurant "
1,2,monica:," well, they don't have to know that... "
1,2,monica:," ross, could you come and help me with the spaghetti, please? "
1,2,ross:," oh, we're having spaghetti! that's.... easy. "
1,2,monica:," well, at least she had the chance to leave a man at the altar... "
1,2,monica:, nothing! it's an expression. 
1,2,monica:," ...and i read about these women trying to have it all, and i thank god 'our little harmonica' doesn't seem to have that problem. "
1,2,monica:," so, ross, what's going on with you? any stories? no news, no little anecdotes to share with the folks? "
1,2,ross:, and you knew about this?! commercial break 
1,2,joey:," your folks are really that bad, huh? "
1,2,ross:," well, y'know, these people are pros. they know what they're doing, they take their time, they get the job done. "
1,2,monica:," boy, i know they say you can't change your parents,... boy, if you could i'd want yours. "
1,2,ross:, must pee. 
1,2,phoebe:," y'know, it's even worse when you're twins. "
1,2,rachel:, you're twins? 
1,2,phoebe:," yeah. we don't speak. she's like this high powered, driven career type. "
1,2,chandler:, what does she do? 
1,2,phoebe:, she's a waitress. 
1,2,rachel:," all right, you guys, i kinda gotta clean up now. "
1,2,monica:," chandler, you're an only child, right? you don't have any of this. "
1,2,chandler:," well, no, although i did have an imaginary friend, who... my parents actually preferred. "
1,2,rachel:," the lights, please.. "
1,2,ross:, ...how long was i in there? 
1,2,rachel:, i'm just cleaning up. 
1,2,ross:, d'ya.. uh.. d'ya need any help? 
1,2,rachel:," uh.. okay, sure! thanks! "
1,2,ross:," anyway.. um.. so, you uh you nervous about barry tomorrow? "
1,2,rachel:, oh.. a little.. 
1,2,ross:, mm hmm.. 
1,2,rachel:, a lot. 
1,2,ross:, mm. 
1,2,rachel:," so, got any advice? y'know, as someone who's recently been dumped? "
1,2,ross:," well, you may wanna steer clear of the word 'dumped'. chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, i know it'll be hard. or, y'know, uh, hey!, i'll go down there, and i'll give barry back his ring, and you can go with carol and susan to the ob/gyn... "
1,2,rachel:," oh, you've got carol tomorrow.. when did it get so complicated? "
1,2,ross:, got me. 
1,2,rachel:, remember when we were in high school together? 
1,2,ross:, yeah. 
1,2,rachel:," i mean, didn't you think you were just gonna meet somone, fall in love and that'd be it? ..ross? "
1,2,ross:," yes, yes! "
1,2,rachel:," oh! man, i never thought i'd be here.. "
1,2,ross:, me either... 
1,2,ross:," sorry i'm late, i was stuck at work. there was this big dinosaur.. thing.. anyway. "
1,2,susan:, hi. 
1,2,carol:," ross, you remember susan. "
1,2,ross:, how could i forget? 
1,2,susan:, ross. 
1,2,ross:," hello, susan. good shake. good shake. so, uh, we're just waiting for...? "
1,2,carol:, dr. oberman. 
1,2,ross:, ..dr. oberman. okay. and is he 
1,2,susan:, she. 
1,2,ross:," she, of course, she uh familiar with our.. special situation? "
1,2,carol:," yes, and she's very supportive. "
1,2,ross:," okay, that's great. no, i'm oh.  "
1,2,carol:, thanks. 
1,2,ross:," quack, quack.. "
1,2,carol:, ross? that opens my cervix. 
1,2,rachel:, barry? 
1,2,barry:, c'mon in. 
1,2,rachel:, are you sure? 
1,2,barry:," yeah! it's fine, it's fine. robbie's gonna be here for hours. "
1,2,robbie:, huh?! 
1,2,barry:," so, how ya doin? "
1,2,rachel:, i'm uh i'm okay... you look great! 
1,2,barry:," yeah, well.. "
1,2,bernice:," dr. farber, jason greenstein's gagging. "
1,2,barry:, be right there. be back in a sec. 
1,2,rachel:, i dumped him. 
1,2,robbie:, okay. 
1,2,ross:," so, um so how's this, uh, how's this gonna work? y'know, with us? y'know, when, like, important decisions have to be made? "
1,2,carol:, give me a 'for instance'. 
1,2,ross:," well, uh, uh, i don't know, okay, okay, how about with the, uh, with the baby's name? "
1,2,carol:, marlon 
1,2,ross:, marlon?! 
1,2,carol:," if it's a boy, minnie if it's a girl. "
1,2,ross:, ...as in mouse? 
1,2,carol:, as in my grandmother. 
1,2,ross:," still, you you say minnie, you hear mouse. um, how about, um.. how about julia? "
1,2,carol:, julia.. 
1,2,susan:, we agreed on minnie. 
1,2,ross:," 's'funny, um, uh, we agreed we'd spend the rest of our lives together. things change, roll with the punches. i believe julia's on the table..? "
1,2,barry:, sorry about that. so. what have you been up to? 
1,2,rachel:," oh, not much. i i got a job. "
1,2,barry:," oh, that's great. "
1,2,rachel:, why are why are you so tanned? 
1,2,barry:," oh, i, uh i went to aruba. "
1,2,rachel:, oh no. you went on our honeymoon alone? 
1,2,barry:," no. i went with, uh.. now, this may hurt. "
1,2,robbie:, me?! 
1,2,barry:, no! i went with mindy. 
1,2,rachel:," mindy?! my maid of honour, mindy?! "
1,2,barry:," yeah, well, uh, we're kind of a thing now. "
1,2,rachel:," oh! well, um.. you've got plugs! "
1,2,barry:, careful! they haven't quite taken yet. 
1,2,rachel:, and you've got lenses! but you hate sticking your finger in your eye! 
1,2,barry:," not for her. listen, i really wanted to thank you. "
1,2,rachel:, okay.. 
